Date,User,Tweet,Translated_Tweet
2023-04-08 03:11:53+00:00,Physicsgyani,jee main 1st shift 8 april 2023 physic paper jee main physic jee main physic crash course jeemains physic via jeemains2023 jeemain2023 physicswallah,jee main 1st shift 8 april 2023 physic paper jee main physic jee main physics crash course jeemains physic via jee mains 2023 jee main 2023 physicswallah
2023-04-08 03:10:25+00:00,Physicsgyani,jee nta 2nd shift 6 april physic paper jee main physic jee main physic crash course jeemains physic via jeemains2023 jeemain2023 physicswallah,jee nta 2nd shift 6 april physic paper jee main physic jee main physics crash course jeemains physic via jee mains 2023 jee main 2023 physicswallah
2023-04-07 22:05:11+00:00,SyedRehanQuadr3,cheap facility worst business planning 23yrs span pw offline class physicswallah pw jeemain2023,cheap facility worst business planning 23yrs span pw offline classes physicswallah pw jee main 2023
2023-04-07 17:00:59+00:00,hey_ranjeet0412,physicswallah alakhsir alakhpandey mujhe 12th jee ka batch lena tha galti 11th ka batch le liya aur app contact kiya koi reply na aayaa sir mere pas na hai kya karu sir mujhe batch shift karna hai please help sir,physicswallah alakhsir alakhpandey mujhe 12th jee ka batch lena tha galti 11th ka batch le liya aur app contact kiya koi reply na aayaa sir mere pas na hai kya karu sir mujhe batch shift karna hai please help sir
2023-04-07 15:30:05+00:00,AsitKum58381073,dear mralakh took admission offline vidyapeeth class newtownkolkata faced major communication gap local centre information shared properly u regarding class creating bad impression ur physicswallah,dear mr alakh took admission offline vidyapeeth classes newtown kolkata faced major communication gap local centre information shared properly u regarding class creating bad impression ur physicswallah
2023-04-07 14:46:22+00:00,malpani,_naveen small community based coaching class fine teacher accountable answerable predatory commercial edtech unicorn like byjus vedantu unacademy physicswallah trap family educational debt need banned,_naveen small community based coaching class fine teacher accountable answerable predatory commercial edtech unicorn like byjus vedantu unacademy physicswallah trap family educational debt need banned
2023-04-07 14:42:05+00:00,IAMSADITRIYAZ,physicswallah web series series mark actor done wonderful job especially hat u sir u made wonderful master piece physic wallah,physicswallah web series series mark actor done wonderful job especially hat u sir u made wonderful master piece physic wallah
2023-04-07 12:20:45+00:00,pknehal,want immediate assistance pw councelor unable login pw app otp issue there response pw contact u page im getting reply student upsc prahar batch physicswallah,want immediate assistance pw councelor unable login pw app otp issue there response pw contact u page im getting reply student upsc prahar batch physicswallah
2023-04-07 11:33:51+00:00,naughtyhr,said learning never end saying go recently complete leadership training program keep learning keep growing thanks pw physicswallah leadership learning training,said learning never end saying go recently complete leadership training program keep learning keep growing thanks pw physicswallah leadership learning training
2023-04-07 11:31:58+00:00,EtoosIndia,ready rahna baccho jaldi hi aane vala hai kuch naya physicswallah etoosindia neetaspirants neet2023 neetgoal aiims bigsurprise comingsoon,Be ready kids something new coming soon Fasiksuallah etusindya neetaparents neet2023 neetgol aimes bigsurprise kingsoon
2023-04-07 09:13:18+00:00,Adarsh500998076,physicswallah pw alakhpandey patnarailway please cancel admission asap alakhpandey,physicswallah pw alakh pandey patna railway please cancel admission asap alakh pandey
2023-04-07 06:26:47+00:00,EtoosIndia,kyo kahi aap bhi nahi krte esa physicswallah etoosindia neetexam swapping trending neet2023 answersheet,Why don't you even say this?
2023-04-07 05:49:45+00:00,astomar29255159,physicswallah plzz sir start batch soon,physicswallah plzz sir start batch soon
2023-04-07 05:18:07+00:00,amazonminiTV,khake toh dekho kya pata shayad accha lag jaaye worldhealthday amazonminitv physicswallah streamnow foryou forfree,khake toh dekho kya pata shayad achcha lag jaye worldelthday amazonminitva fasciuallah streemanov foryou forfre
2023-04-07 03:37:28+00:00,dd_aakash,worst physic wallah app experience short physicswallah alakh via physicswallah yakeen neet,worst physic wallah app experience short physicswallah alakh via physicswallah yakeen neet
2023-04-07 03:32:05+00:00,dd_aakash,__wallah tech team fraudulent service provider ever sent many email report ipad app opening since yesterday evening single person helped gave proper justification physicswallah neet2023,__wallah tech team fraudulent service provider ever sent many email report ipad app opening since yesterday evening single person helped gave proper justification physicswallah neet2023
2023-04-07 03:25:35+00:00,paramshanu7,matlab inko sharam bhi nahi aati ki kaise unn baccho ka waqt barbaad kar rhe hain aur phir kehte hai result denge arre tumne ek quality develop kar rhe ho baccho insecurity aur non cooperation pw physicswallah adda247 etc,matlab inko sharam bhi nahi aati ki kaise unn baccho ka waqt barbaad kar rhe hain aur phir kehte hai result denge arre tumne ek quality develop kar rhe ho baccho insecurity aur non cooperation pw physicswallah adda247 etc
2023-04-07 03:22:09+00:00,M_Gaikwad_,yaar family stress uper se ye exam ka tension insan kre kya kare way apaki kaise chal rahi hai study salo jaan lagha abhi neet coming soon pe hai best luck neetug2023 neet2023 physicswallah unacademy questiontime,yaar family stress up se ye exam ka tension insan kre kya kare way aapaki kaise chal rahi hai study salo jaan lagha abhi neet coming soon pe hai best luck neetug2023 neet2023 physicswallah unacademy questiontime
2023-04-07 03:00:01+00:00,SoulRajputana,congregation pw kota pw completed 1st year kota successfully wish every student pw succed goal allthough also neet asparent wish get govt college also btw dream college aiims rishikesh kota physicswallah alakhpandey,congregation pw kota pw completed 1st year kota successfully wish every student pw succed goal allthough also neet asparent wish get govt college also btw dream college aiims rishikesh kota physicswallah alakhpandey
2023-04-06 21:32:27+00:00,shilprem,physicswallah fact humanrights anger supermariomovie kkrvrcb mindhack article mindcontrol nature psychology psychiatry,physicswallah fact human rights anger supermariomovie kkr rcb mindhack article mind control nature psychology psychiatry
2023-04-06 17:47:22+00:00,dd_aakash,__wallah sir ipad app isnt working since evening fix please physicswallah neetug,_ wallah sir ipad app isn't working since evening fix please physics wallah neet pg
2023-04-06 17:18:25+00:00,iamapeiron,brother gave sat scholership test physicswallah scored 82 mark visited pw centre gave 20 scholership sir dont know requesting confirm statement pw centre patna,brother gave sat scholarship test physics wallah scored 82 mark visited pw centre gave 20 scholarship sir dont know requesting confirm statement pw centre patna
2023-04-06 16:52:25+00:00,dhnjysingh,भरत म edtech कय फल ह रह ह म और मर टम इसपर एक सल स कम कर रह ह आपक कय रय ह byju unacademy exampur physicswallah adda247 khansir,Why is edtech flourishing in India and we are doing a lot of research on this byju unacademy exampur physicswallah adda247 khansir
2023-04-06 15:00:05+00:00,TheFinlance,physicswallahs alakh pandey took home highest salary among peer fy22 detailed analysis,physicswallahs alakh pandey took home highest salary among peer fy22 detailed analysis
2023-04-06 14:50:38+00:00,RohitKu89560641,issue solved yet complaint 2nd april still issue solved yet dear physicswallah __wallah please look matter solve issue soon possible also sent message twitter getting response,issue solved yet complaint 2nd april still issue solved yet dear physicswallah __wallah please look matter solve issue soon possible also sent message twitter getting response
2023-04-06 14:46:22+00:00,pw__skills,techie solve puzzle jaldi se answer bata dalo comment pw pwskills puzzle technology physicswallah comment answer solve logic fun reasoning,techie solve puzzle jaldi se answer bata dalo comment pw pwskills puzzle technology physicswallah comment answer solve logic fun reasoning
2023-04-06 14:30:55+00:00,malpani,end commercial coaching class like aakash allen byjus physicswallah thanks gpt4 endlessly patient tutor come home free teach clear doubt instantly 247,end commercial coaching class like aakash allen byjus physicswallah thanks gpt4 endlessly patient tutor come home free teach clear doubt instantly 247
2023-04-06 12:15:25+00:00,DreamVerse10,__wallah physicswallah,"I swear to God, he will reach him"
2023-04-06 12:14:33+00:00,DreamVerse10,__wallah sirplease launch new test series neet 2023 offline newly centreswe cannot cover whole syllabus important give test like exam situation better performance physicswallah,__wallah sirplease launch new test series neet 2023 offline newly centreswe cannot cover whole syllabus important give test like exam situation better performance physicswallah
2023-04-06 12:05:00+00:00,bsindia,looking raise fund right say physicswallah cofounder prateek maheshwari read,looking raise fund right say physicswallah cofounder prateek maheshwari read
2023-04-06 11:47:08+00:00,naughtyhr,require professor chemistry jee following location 1 varanasi 2 lucknow 3 prayagraj interested candidate may share resume gopal2live chemistry pw physicswallah,require professor chemistry jee following location 1 varanasi 2 lucknow 3 prayagraj interested candidate may share resume gopal2live chemistry pw physicswallah
2023-04-06 10:39:32+00:00,EtoosIndia,kursi ki peti baandh lijiye kyoki surprise aane wala hai physicswallah etoosindia neetaspirants motivation bigsurprise comingsoon neet2023 srk,Fasten your seat belts because a surprise is comingFasixuallah etusindya neetaparents motivation bigsurprise kingsoon neet2023 circ
2023-04-06 10:06:43+00:00,Inc42,edtech startup edtechstartups founder salary india inc42 byjus physicswallah lead vedantu classplus adda247 unacademy upgrad teachmint alakhpandey prateekmaheshwari read indepth story,edtech startup edtechstartups founder salary india inc42 byjus physicswallah lead vedantu classplus adda247 unacademy upgrad teachmint alakhpandey prateekmaheshwari read indepth story
2023-04-06 08:46:02+00:00,EtoosIndia,padhne pe dhyaan baccho snap reel baad bhi bnaai jaa sakti hai physicswallah etoosindia neetmotivation neet2023 snap reel neet2023 neetoos,Pay attention to reading Snap reel can be made even after fisiksualallah etusindya neetmotivatio neet2023 snap deal neet2023 neetoos
2023-04-06 08:04:16+00:00,M04SA_,report among newage unicorn ofbusiness inframarket physicswallah top 3 term profit fy22 meesho udaan sharechat top lossmaking unicorn udaan also made top revenue generator followed ofbusiness inframarket,report among newage unicorn ofbusiness inframarket physicswallah top 3 term profit fy22 meesho udaan sharechat top lossmaking unicorn udaan also made top revenue generator followed ofbusiness inframarket
2023-04-06 04:50:18+00:00,malpani,isnt depressing student still use notebook instead notepad coaching class like byjus aakash allen physicswallah 0ur education system churning clerk wonder cant get decent job,isn't depressing student still use notebook instead notepad coaching class like byjus aakash allen physics wallah 0ur education system churning clerk wonder cant get decent job
2023-04-06 04:45:42+00:00,Physicsgyani,jee physic 7 april 1st shift important question jee main physic jee main physic crash course jeemains physic via jeemain2023 jee jeemains physicswallah physic,jee physic 7 april 1st shift important question jee main physic jee main physics crash course jee main physic via jee main 2023 jee jeemains physicswallah physic
2023-04-06 04:43:08+00:00,Physicsgyani,jee 6 april physic paper important question jee main physic jee main physic crash course jeemains physic via jeemain2023 jee jeemains physicswallah physic,jee 6 april physic paper important question jee main physic jee main physics crash course jee main physic via jee main 2023 jee jeemains physicswallah physic
2023-04-06 04:17:59+00:00,amazonminiTV,toh kahan jaa rahe ho ghumne shreedhardubey amazonminitv theloanscam physicswallah summer summervacations travel streamnow foryou forfree,toh kahan jaa rahe ho ghumne shridhardubey amjonminitva thelionsome fascistuallah summer summevacations travel strimanov foryou forfre
2023-04-06 02:45:50+00:00,M_Gaikwad_,organic chemistry kahase karna better rahega neetug2023 neet neetug2023 physicswallah poll questionoftheday goc chemistry,organic chemistry kahase karna better rahega neet 2023 neet neet ug 2023 physicswallah poll quoteoftheday goc chemistry
2023-04-05 18:36:31+00:00,Real_Vishu_Im,जह वशव कवटम भतक कमपयटर कडग सख रह ह वह भरत क एकलत रजय वशष जतय क कडग कर रह ह physic physicswallah castecensus bihar,"Where Vishwa Kavitam Bhatak is studying computer coding, he is coding the Ekalat Rajya Vishesh Jatiya of India"
2023-04-05 17:24:14+00:00,_real_aditya,beside kanpur best coaching time coaching struggling syllabus completion pw physicswallah neet neet2023 neetug pwvidyapeeth,beside kanpur best coaching time coaching struggling syllabus completion pw physicswallah neet neet 2023 neet pw vidyapeeth
2023-04-05 17:14:15+00:00,HrishiR420,also got whatsapp text till 5th april 2023 module delivered today 5th pw store showing module hasnt even packedim anxious physicswallah lakshyajee2023,also got whatsapp text till 5th april 2023 module delivered today 5th pw store showing module hasnt even packedim anxious physicswallah lakshyajee2023
2023-04-05 17:07:33+00:00,HrishiR420,ordered lakshya jee 2024 module 29th march 2023 yet till today 5th april2023 show module hasnt packed watch video found happening physicswallah,ordered lakshya jee 2024 module 29th march 2023 yet till today 5th april2023 show module hasnt packed watch video found happening physicswallah
2023-04-05 13:44:32+00:00,DumaniKhabar,ଭବନଶୱର କଟକ ରଡର ଖଲଲ physic wallah vidyapeeth dumani tv dumanitv dumaninews physicswallah pwvidyapeeth vidyapeeth physicswallahvidyapeeth vidyapeethphysicswallah vidyapeethphysicswallah odianews odishanews odisha,Bhavanshwar Cuttack Rader Khall physic wallah vidyapeeth dumani tv dumanitv dumaninews physicswallah pwvidyapeeth vidyapeeth physicswallahvidyapeeth vidyapeethphysicswallah vidyapeethphysicswallah odianews odishanews odisha
2023-04-05 13:37:27+00:00,areyhaanyaar,syllabus completion gt controversy pwcontroversy physicswallah,syllabus completion gt controversy pwcontroversy physicswallah
2023-04-05 12:38:50+00:00,M_Gaikwad_,फर स आएग वह रत व मठमठ स webseries movie game kaha gayi yaar wo raateneetug2023 neet neetug2023 ncephysicswallah,Far s aayeg wah raat va mathmath s webseries movie game kaha gayi yaar wo raateneetug2023 neet neetug2023 ncephysicswallah
2023-04-05 12:17:53+00:00,EtoosIndia,hello bachcho taiyar ho jaoaane wala hai kuch dhamakedar physicswallah etoosindia surprise cid daya comingsoon,Hello kids get ready to be young
2023-04-05 12:13:15+00:00,Piyush_VaahS,physic wallah adda 247 controversy doge physicswallah adda247,physicswallah adda247 controversy doge physicswallah adda247
2023-04-05 12:09:05+00:00,DreamVerse10,hey __wallah tell revision test series neetug2023 offline mode newly launched pathsala centreif yes please dont delay request physicswallah neet,hey __wallah tell revision test series neetug2023 offline mode newly launched pathsala centreif yes please dont delay request physicswallah neet
2023-04-05 09:45:06+00:00,Sitaram54009045,physicswallah,physicswallah
2023-04-05 09:42:02+00:00,paulamita014,pw things pw physicswallah coaching selfie mirrorselfie,pw things pw physics wallah coaching selfie mirror selfie
2023-04-05 09:30:10+00:00,EtoosIndia,hello bachcho btaao kon kon hai vo physicswallah etoosindia iit aiims,Hello kids tell me who is that fanciualallah etusindya
2023-04-05 09:11:39+00:00,bakaitibabuji,tbh top ssc neet jee faculty ed tech company low emotional intelligence category theyre good subject specialist teacher true sense lack aura genuine wisdom like splitsvilla physicswallah unacademy ssccgl2023,tbh top ssc neet jee faculty ed tech company low emotional intelligence category theyre good subject specialist teacher true sense lack aura genuine wisdom like splitsvilla physicswallah unacademy ssccgl2023
2023-04-05 07:58:51+00:00,warieshaanwar,ordered neet module sister 13th march 2023 support customer service delayed delivery losing precious time solution physicswallah __wallah,ordered neet module sister 13th march 2023 support customer service delayed delivery losing precious time solution physicswallah __wallah
2023-04-05 07:37:56+00:00,foruamrit,big scam going pw enrolled upsc classroom told class start 9th apr even amp class start please refund money physicswallah,big scam going pw enrolled upsc classroom told class start 9th apr even amp class start please refund money physicswallah
2023-04-05 07:04:49+00:00,ShooliniUniv,congratulation brilliant btech cse shoolinians getting placed physic wallah keep shining bright shooliniuniversity shoolinistudents shoolini planetspark btech cse engineeringstudents physicswallah computerscience computerengineering newhiring,congratulation brilliant btech cse shoolinians getting placed physic wallah keep shining bright shooliniuniversity shoolinistudents shoolini planetspark btech cse engineeringstudents physicswallah computerscience computerengineering newhiring
2023-04-05 06:55:36+00:00,EtoosIndia,dil mere hai stethoscope physicswallah etoosindia stethescope aiims neetaspirants,dil mere hai stethoscope physics wallah etoosindia stethoscope aiims neet aspirants
2023-04-04 22:28:48+00:00,ChiragSiradana,pw course price increased thats right also count inflation quality first v current batch biscuit bhi kum aane lag gye ab 12 physicswallah,pw course price increased thats right also count inflation quality first v current batch biscuit bhi kum aane lag gye ab 12 physicswallah
2023-04-04 19:13:52+00:00,NONIDH069,mbachaiwala ya phir physicswallah jo bhi ho mazza aane wala,
2023-04-04 17:45:00+00:00,thevks007,neet biology without tarun amp mdsir incomplete amp fee also increased previous year without faculty member pw physicswallah,neet biology without tarun amp mdsir incomplete amp fee also increased previous year without faculty member pw physicswallah
2023-04-04 16:53:12+00:00,foruamrit,big scam going pw enrolled upsc classroom told class start 9th apr even dont know amp class start please refund money physicswallah,big scam going pw enrolled upsc classroom told class start 9th apr even dont know amp class start please refund money physicswallah
2023-04-04 16:42:39+00:00,foruamrit,big scam going pw enrolled upsc classroom told class start 9th apr even amp class start please refund money physicswallah,big scam going pw enrolled upsc classroom told class start 9th apr even amp class start please refund money physicswallah
2023-04-04 15:43:25+00:00,greyhawk320,gravity acceleration momentum deflection vector oscillatory rotational translational uniformnonuniform motionperiodic circular linear motion outlined single trajectory achieving multiple target physicswallah physic,gravity acceleration momentum deflection vector oscillatory rotational translational uniformnonuniform motionperiodic circular linear motion outlined single trajectory achieving multiple target physicswallah physic
2023-04-04 14:22:34+00:00,kishan_kr69,wasnt response either help previous lecture catch please help change batch physicswallah alakhpandey,wasn't response either help previous lecture catch please help change batch physics wallah alakh pandey
2023-04-04 14:10:22+00:00,branded_niks,yaa _mbachai ya fir koi choching institute kuch bhi ho waiting ur next vidoe physicswallah mbachaiwala,Ya _ Bachai Ya ya any coaching institute kuch bhi ho Waiting ur next Vidye FasiksualAllah Bachaiwala
2023-04-04 13:50:32+00:00,Physicsgyani,jee repeated question special jee 612 april2023 jee main physic jee main physic crash course jeemains physic via jee jeemains2023 physicswallah physic jeemains,jee repeated question special jee 612 april2023 jee main physic jee main physic crash course jeemains physic via jee jeemains2023 physicswallah physic jeemains
2023-04-04 13:48:40+00:00,Physicsgyani,jee electrostatics repeated question special jee april 610 jee main physic jee main physic crash course jeemains physic via jeemains2023 jee jeemains physicswallah physic,jee electrostatics repeated question special jee april 610 jee main physic jee main physics crash course jee main physic via jee mains 2023 jee jeemains physicswallah physic
2023-04-04 13:30:13+00:00,EtoosIndia,become raj day exam physicswallah etoosindia srk bollywood examination jeeaspirants neetaspirants,become raj day exam physicswallah etoosindia srk bollywood examination jeeaspirants neetaspirants
2023-04-04 12:58:56+00:00,exponentialaman,student fighting physicswallah adda247 controversy le jee neet,student fighting physicswallah adda247 controversy le jee neet
2023-04-04 11:43:17+00:00,quoraflix_,physicswallah alakhpandey knowledgeplanet physic wallah न uae सथत knowledge planet क कय अधगरहण जनए कय ह पलन,physicswallah alakhpandey knowledgeplanet physic wallah
2023-04-04 11:42:26+00:00,TheAliVoice,physicswallah alakhpandey knowledgeplanet physic wallah न uae सथत knowledge planet क कय अधगरहण जनए कय ह पलन,physicswallah alakhpandey knowledgeplanet physic wallah
2023-04-04 11:42:20+00:00,quoraflix_,physicswallah alakhpandey knowledgeplanet physic wallah न uae सथत knowledge planet क कय अधगरहण जनए कय ह पलन,physicswallah alakhpandey knowledgeplanet physic wallah
2023-04-04 10:47:19+00:00,M_Gaikwad_,hey guy neet ug 2023 coming soon neetug2023 neet2023 neet virginmediaoutage doctor physicswallah,hey guy neet ug 2023 coming soon neet 2023 neet 2023 neet virginmedia outage doctor physicswallah
2023-04-04 09:04:37+00:00,EtoosIndia,youre loop know physicswallah etoosindia nmacc culture nmaccindia nmaccindia,youre loop know physics wallah etoosindia nmacc cultural nmaccindia nmcindia
2023-04-04 07:49:01+00:00,career_carnival,topic covered career oppurtunities 12th success mantra professional exam register havent yet careerfair careercarnival jeeadvanced neet kota exam jee jeemains physicswallah careering unacadamy,topic covered career oppurtunities 12th success mantra professional exam register havent yet career fair career carnival jee advanced neet kota exam jee jeemains physicswallah careering unacadamy
