,Date,User,Tweet
18,2023-04-09 10:04:06+00:00,newsincindia,"Join 𝐏𝐡𝐲𝐬𝐢𝐜𝐬 𝐖𝐚𝐥𝐥𝐚𝐡 (𝐏𝐖) https://t.co/9jdL4Nv6JI via @FacebookWatch 

#PhysicsWallah #NewsUpdate #raipur_news #ChhattisgarhNews #schoolfights #India #reelsvideo #Facebook #education #EducationForAll"
19,2023-04-09 09:17:26+00:00,Aleem97405995,"#NTAReopenNEETRegistration2023 #Afmc #toi #aajtk #PhysicsWallah #NarendraModi 
#educationminister"
20,2023-04-09 06:42:09+00:00,malpani,Edtech startups like #Byju's and #Vedantu and #Unacademy and #PhysicsWallah and #Upgrad need a Chief Ethics Officer https://t.co/cPTyxrgjel
21,2023-04-09 06:41:49+00:00,malpani,"Need to gift this book to the founders of #Byju's and #Vedantu and #Unacademy and #PhysicsWallah and #Upgrad 😂
The Ethical Executive: Becoming Aware of the Root Causes of Unethical Behavior: 45 Psychological Traps that Every One of Us Falls Prey To https://t.co/nveSEP3OTm"
22,2023-04-09 06:36:27+00:00,pandeyank1t,"#PW is changing the game when it comes to online learning! With his engaging teaching style and passion for physics, @PhysicswallahAP has made learning fun and accessible for students all around the world. Thank you for inspiring the next generation of physicists! #PhysicsWallah"
23,2023-04-09 06:09:41+00:00,HamzaKhanKaka13,Marie Curie and her daughter Irène were the first mother-daughter pair to win Nobel Prizes in science. Marie Curie was awarded the Nobel Prize in Physics in 1903 for her work on radioactivity.#Physics #historyofphysics #PhysicsWallah https://t.co/JL7DQXWu1m
24,2023-04-09 05:03:36+00:00,malpani,https://t.co/ovy3Ne1ieG + #ChatGPT &gt;&gt; #Byju's + #Akash + #PhysicsWallah
25,2023-04-09 04:53:10+00:00,EtoosIndia,असफल वो होते है जो रोते और ज्यादा सोचते है _ Don't be an Overthinker _ #Shorts #EtoosIndia #physicswallah #etoosindia #aamam #neetstudents #motivation #aiims #success https://t.co/U5liLgsaqI
26,2023-04-09 04:37:49+00:00,M_Gaikwad_,"Hume Bhi Koi Pyar Kar Lo……
 Zoota Hi Sahi..😬 
#NEETUG2023 #NEET #neetug2023 #doctor #MedTwitter #PhysicsWallah #unacademy #Twitter"
27,2023-04-09 03:14:42+00:00,Physicsgyani,"NTA LATEST Pattern:"":""::""::""::"":"":
JEE Mains 2023

jee mains physics || jee mains physics crash course || #jeemains #physic... https://t.co/cc0j48nxrs via @YouTube #JeeMains2023 #JEEMains #PhysicsWallah"
28,2023-04-09 03:13:29+00:00,Physicsgyani,"NTA Trend Change """"""""""""
Most Important Questions....

jee mains physics || jee mains physics crash course || #jeemains #physic... https://t.co/cc0j48nxrs via @YouTube #JeeMains2023 #JEEMains #PhysicsWallah"
29,2023-04-08 14:19:33+00:00,pw__skills,"Techies, We are inviting you to  Developing Restful APIs using Node.js &amp; Express Master class on 12th April 2023 at 8:30 pm.🤩 🔥🧑‍💻

Register now-: https://t.co/Gd9RbJunEF ⏰

#pw #physicswallah #ineuron #masterclass #nodejs #java #frontend #backend #live #register #pwskills https://t.co/tOSrdjuPeo"
30,2023-04-08 13:44:01+00:00,therndtv1,#PhysicsWallah 🥵💦 https://t.co/8JemFzEyEY
31,2023-04-08 11:54:17+00:00,Aleem97405995,"@ThePradeepRawat @DG_NTA @EduMinOfIndia #NEETUG2023 #extendneetregistration #NEET2023 #NTA #NEETUG
#PhysicsWallah #NTA"
32,2023-04-08 11:48:41+00:00,EtoosIndia,"Samjhe Baccho 😱 😱 😅 
#physicswallah #etoosindia #friction #physics #coefficient #physicsmemes #frictionmeme https://t.co/lp6Hu2o5vg"
33,2023-04-08 11:39:52+00:00,RBrainfoster,"IP physics tuition
https://t.co/Yjb3YIRSOG
SG Physics Tuition is the most reputable and reliable IP Physics tuition in Singapore. They also offer Mathematics and Chemistry tuitions in Singapore
#physicstuition #tuitiion #Physics #PhysicsWallah https://t.co/VysMaugFvA"
34,2023-04-08 09:38:41+00:00,akshatyadav07,"Revolution begins
🤣🤣😁
#PhysicsWallah #alakhpandey #Physics #Revolution https://t.co/3xuAoTtDOf"
35,2023-04-08 08:42:34+00:00,EtoosIndia,"Kyo man me laddoo futa na 😆 Yahi to chahte the tum...hai ki nahi 😜 
#etoosindia #physicswallah #trending #lastbenchmemes #viral #neet2023 #studentsmeme https://t.co/KP2xXyeYHB"
36,2023-04-08 05:24:53+00:00,shivaniAshinde,Will #physicswallah buck the trend? Stay away from the crazy fund raise the sector has seen and also the crazy valuations that many received when funds were chasing the Indian #startup story? https://t.co/kbWvNMCGyb
37,2023-04-08 03:23:20+00:00,M_Gaikwad_,"#Me &amp; My #umbrella ☔@7:30 Morning Nikhal Pde Lab Ke Liye...
Hum #NEET Walo Ko Kaha Barish Our Kaha Moasum Ka Fhark padta hai Hume To Bas Apane Aapse Our Apne #Sapno Se Mtlb Hai ....#NEETUG2023 #neetug2023 #Doctors #MedTwitter #life #PhysicsWallah #unacademy https://t.co/7K6Gp5pIwp"
38,2023-04-08 03:11:53+00:00,Physicsgyani,"JEE Mains 1st shift 8 April 2023
Physics Paper'''''''''''

jee mains physics || jee mains physics crash course || #jeemains #physic... https://t.co/7U1oZ5eAvx via @YouTube #JeeMains2023 #JEEMain2023 #physicswallah"
39,2023-04-08 03:10:25+00:00,Physicsgyani,"JEE NTA 2nd shift 6 April'''''
Physics Paper....

jee mains physics || jee mains physics crash course || #jeemains #physic... https://t.co/7U1oZ5eAvx via @YouTube #JeeMains2023 #JEEMain2023 #physicswallah"
40,2023-04-07 22:05:11+00:00,SyedRehanQuadr3,"Because of cheap facilities and worst business planning :-
After 2-3yrs of span pw offline classes 📉📉📉📉📉

#PhysicsWallah #pw #JEEMain2023"
41,2023-04-07 17:00:59+00:00,hey_ranjeet0412,#PhysicsWallah  #alakhSir #alakhpandey mujhe 12th jee ka batch lena tha but galti 11th ka batch le liya aur app contact Kiya but koi reply na aayaa sir mere pass na hai kya karu sir mujhe batch shift karna hai  please help me sir
42,2023-04-07 15:30:05+00:00,AsitKum58381073,"Dear Mr.Alakh,
We  took admission in your offline Vidyapeeth classes in Newtown,Kolkata. But we have faced major communication gap with your local centre. No information is being shared properly to us regarding the classes and its creating bad impression of urs #PhysicsWallah"
43,2023-04-07 14:46:22+00:00,malpani,@nisar_naveen Small community based coaching classes are fine because these teachers are accountable and answerable . It's the predatory commercial #Edtech unicorns like #Byju's and #Vedantu and #Unacademy and #PhysicsWallah which trap families in educational debt which need to be banned
44,2023-04-07 14:42:05+00:00,IAMSADITRIYAZ,"#PhysicsWallah Web series the series is up to the mark and all the actors have done a wonderful job especially @Shriidhardubey hat's off to u sir u have made a wonderful master piece 
Physics wallah:🌟🌟🌟🌟🌟"
45,2023-04-07 12:20:45+00:00,pknehal,"I want immediate assistance from PW councelor, unable to login in PW app. OTP issue.
There's no response from PW 'contact us' page. Nor I'm getting reply.
Student of UPSC PRAHAR BATCH
#PhysicsWallah"
46,2023-04-07 11:33:51+00:00,naughtyhr,"It is said that Learning never ends ........ so as the saying goes, I recently complete a Leadership Training Program !!!

Keep Learning .....Keep Growing !!!!

Thanks #pw #physicswallah #leadership #learning #training https://t.co/1PF1RfpG1T"
47,2023-04-07 11:31:58+00:00,EtoosIndia,"Ready rahna baccho, Jaldi hi aane vala hai kuch naya!!!
#physicswallah #etoosindia #neetaspirants #neet2023 #neetgoal #aiims #bigsurprise #comingsoon https://t.co/dsXlDDssNJ"
48,2023-04-07 09:13:18+00:00,Adarsh500998076,#PhysicsWallah @PhysicswallahAP #pw #alakhpandey #patnarailway  please cancel my admission asap #alakhpandey @PhysicswallahAP https://t.co/FqzJggqoS3
49,2023-04-07 06:26:47+00:00,EtoosIndia,"Kyo kahi aap bhi to nahi krte esa !!!
#physicswallah #etoosindia #neetexam #swapping #trending #neet2023 #answersheet https://t.co/PEo4DYXkBR"
50,2023-04-07 05:49:45+00:00,astomar29255159,@PhysicswallahAP @EntrepreneurIND #PhysicsWallah  plzz sir start batch soon. 🥺 https://t.co/KSB5xt5NGX
51,2023-04-07 05:18:07+00:00,amazonminiTV,"khake toh dekho, kya pata shayad accha lag jaaye😉

@ShreeDharDubey 

#WorldHealthDay #AmazonminiTV #PhysicsWallah #StreamNow #ForYou #ForFree https://t.co/p0SQkbVUeG"
52,2023-04-07 03:37:28+00:00,dd_aakash,"Worst Physics Wallah app experience 😓💔😓💔💔💔 #shorts #physicswallah #alakh... https://t.co/xTcrKkY7Yk via @YouTube 
#PhysicsWallah   #Yakeen #NEET"
53,2023-04-07 03:32:05+00:00,dd_aakash,@physics__wallah  tech team is the most fraudulent service provider ever. I sent so many emails and reports about the ipad app not opening since yesterday evening. Not a single person helped me or gave proper justifications on that. #PhysicsWallah #neet2023
54,2023-04-07 03:25:35+00:00,paramshanu7,"Matlab inko sharam bhi nahi aati ki kaise unn baccho ka waqt barbaad kar rhe hain.. aur phir kehte hai result denge..

Arre tumne ek quality develop kar rhe ho baccho m - insecurity aur non co-operation.

#PW #PhysicsWallah #adda247 etc"
55,2023-04-07 03:22:09+00:00,M_Gaikwad_,"Yaar #Family Stress..😰
 Uper Se Ye #Exam Ka Tension Insan Kre To Kya Kare....😩
 Any Way Apaki Kaise Chal Rahi Hai #study...
Salo Jaan Lagha Do Abhi #NEET Coming soon... Pe Hai.... Best of luck 🤞#NEETUG2023 #neet2023 #physicswallah #unacademy #questiontime"
56,2023-04-07 03:00:01+00:00,SoulRajputana,"Congregations to PW Kota. 
PW has completed his 1st year in kota successfully. I wish every student in PW succed in his goal. Allthough i am also a neet asparent 😁. I wish i get a govt. college also. BTW my dream college is AIIMS Rishikesh.🥰  #Kota #physicswallah #alakhpandey https://t.co/ZTzoeit9fc"
57,2023-04-06 21:32:27+00:00,shilprem,"https://t.co/cip0J5lKMZ

#PhysicsWallah #facts #HumanRights #anger #SuperMarioMovie #KKRvRCB #MINDHACK #Article #mindcontrol #nature #psychology #Psychiatry https://t.co/JCNqigCwX5"
58,2023-04-06 17:47:22+00:00,dd_aakash,"@physics__wallah  @PhysicswallahAP 
Sir, the iPad app isn't working since evening. Can you fix it please 🙏🥺
#physicswallah
#NEETUG"
59,2023-04-06 17:18:25+00:00,iamapeiron,My brother gave  #SAT (scholership test) by #physicswallah he scored 82 % marks but when we visited the pw centre they gave only 20 % scholership.@PhysicswallahAP @PSijairya sir we dont know so i am just requesting to you that you can confirm this statements by pw centre patna.
60,2023-04-06 16:52:25+00:00,dhnjysingh,"भारत में #edtech क्यों फेल हो रही हैं ? मैं और मेरी टीम इसपर एक साल से काम कर रही हैं ! आपकी क्या राय है ?
#byju #unacademy #Exampur #physicswallah  #Adda247 #khansir"
61,2023-04-06 15:00:05+00:00,TheFinlance,#PhysicsWallah's Alakh Pandey took home the highest salary among his  peers in FY22. Detailed analysis here
62,2023-04-06 14:50:38+00:00,RohitKu89560641,Why my issue is not solved yet? I had complaint on 2nd April but still my issue is not solved yet. Dear #PhysicsWallah @physics__wallah Please Look into the matter and solve the issue as soon as possible. I had also sent message on Twitter but now I am not getting any response?
63,2023-04-06 14:46:22+00:00,pw__skills,"Techies, Solve this puzzle🧩
.
.
.
🤩👇 Jaldi se answer bata dalo comments me 🔥

#pw #pwskills #puzzle #technology #physicswallah #comments #answers #solve #logic #fun #reasoning
https://t.co/8t2gED5fS0 https://t.co/74cWwrEETk"
64,2023-04-06 14:30:55+00:00,malpani,"The end of commercial coaching classes like #Aakash and #Allen and #Byju's and #PhysicsWallah , thanks to #GPT4  , the endlessly patient tutor who comes home free to teach you and clear your doubts instantly , 24/7  !"
65,2023-04-06 12:15:25+00:00,DreamVerse10,@physics__wallah @PhysicswallahAP #PhysicsWallah
66,2023-04-06 12:14:33+00:00,DreamVerse10,"@physics__wallah @PhysicswallahAP SIR,PLEASE LAUNCH A NEW TEST SERIES FOR NEET 2023 OFFLINE IN NEWLY CENTRES.WE CANNOT COVER OUR WHOLE SYLLABUS. IT VERY IMPORTANT TO GIVE TEST LIKE THE EXAM SITUATION AND FOR BETTER PERFORMANCE. #PhysicsWallah"
67,2023-04-06 12:05:00+00:00,bsindia,"Not looking to raise #funds right now, says #PhysicsWallah co-founder Prateek Maheshwari

Read here | https://t.co/mPrpI80gzf https://t.co/nE5iO7gyRL"
68,2023-04-06 11:47:08+00:00,naughtyhr,"Require Professor - Chemistry - JEE for following locations 

1. Varanasi 
2. Lucknow 
3. Prayagraj 

Interested candidate may share resume at gopal.2@pw.live #chemistry #pw #physicswallah https://t.co/PrUqSJYpCg"
69,2023-04-06 10:39:32+00:00,EtoosIndia,"Kursi ki peti baandh lijiye kyoki surprise aane wala hai...

#physicswallah #etoosindia #neetaspirants #motivation #bigsurprise #comingsoon #neet2023 #srk https://t.co/McqXAjTh6X"
70,2023-04-06 10:06:43+00:00,Inc42,"⁠
#Edtech #Startup #EdtechStartups #Founders #Salaries #India #Inc42 #Byjus #Physicswallah #Lead #Vedantu #Classplus #Adda247 #Unacademy #UpGrad #Teachmint⁠ #AlakhPandey #PrateekMaheshwari

Read our in-depth story: 👇

https://t.co/vDoWqlv7Ai"
71,2023-04-06 08:46:02+00:00,EtoosIndia,"Padhne pe dhyaan do baccho snap or reels to baad me bhi bnaai jaa sakti hai..
#physicswallah #etoosindia #neetmotivation #neet2023 #snap #reels #neet2023 #neetoos https://t.co/rHDOnI5ud0"
72,2023-04-06 08:04:16+00:00,M04SA_,"#Report: Among new-age unicorns, #OfBusiness, #InfraMarket, and #PhysicsWallah are the top 3 in terms of profits in FY22

➠Meesho, Udaan, and #ShareChat are the top loss-making unicorns.

➠Udaan also made it to the top revenue generators followed by #OfBusiness and InfraMarket https://t.co/lGOKtoyZCU"
73,2023-04-06 04:50:18+00:00,malpani,"Isn't it depressing that students still use notebooks instead of notepads in these coaching classes like #Byju's and #Aakash and #Allen and #PhysicsWallah ?
0ur education system is churning out clerks !
No wonder they can't get decent jobs https://t.co/AccRglgS71"
74,2023-04-06 04:45:42+00:00,Physicsgyani,"""""JEE physics 7 April 1st shift most important Question..""""""""""""

jee mains physics || jee mains physics crash course || #jeemains #physic... https://t.co/yHaz53Hrjz via @YouTube #JEEMain2023 #jee #JEEMains #PhysicsWallah #Physics"
75,2023-04-06 04:43:08+00:00,Physicsgyani,"""""""JEE 6 April physics Paper""""""
Most Important Questions....

jee mains physics || jee mains physics crash course || #jeemains #physic... https://t.co/yHaz53Hrjz via @YouTube #JEEMain2023 #jee #JEEMains #PhysicsWallah #Physics"
76,2023-04-06 04:17:59+00:00,amazonminiTV,"toh, kahan jaa rahe ho ghumne?  😍

@ashchanchlani #ShreedharDubey

#AmazonminiTV #TheLoanScam #PhysicsWallah #Summer #SummerVacations #Travel #StreamNow #ForYou #ForFree https://t.co/NFIXWyBsWd"
77,2023-04-06 02:45:50+00:00,M_Gaikwad_,Organic Chemistry Kahase Karna Better Rahega....? 😰 #NEETUG2023 #NEET #neetug2023 #PhysicsWallah #poll #QuestionOfTheDay #goc #Chemistry
78,2023-04-05 18:36:31+00:00,Real_Vishu_Im,"जहां विश्व क्वांटम भौतिकी, कम्प्यूटर कोडिंग सिख रहा है वहीं भारत का एकलौता राज्य विशेष जातियों को कोडिंग कर रहा है।😊🤣
#physics #PhysicsWallah 
#CasteCensus #Bihar"
79,2023-04-05 17:24:14+00:00,_real_aditya,"Beside all these in Kanpur it is the best coaching at this time as all other coachings are struggling for their syllabus completion.
@PhysicswallahAP 
@ithappensinkota 
#pw #physicswallah #neet #neet2023 #neetug #pwvidyapeeth"
80,2023-04-05 17:14:15+00:00,HrishiR420,"Also, I got the whatsapp text that till 5th of April, 2023 the modules will be delivered to me. But today is 5th and PW store is showing that my module hasn't been even packed.🥲,,,I'm now anxious about it #physicswallah #lakshyajee2023"
81,2023-04-05 17:07:33+00:00,HrishiR420,"I ordered Lakshya JEE 2024 module from @PhysicswallahAP on 29th march, 2023. And yet till now, today is 5th April,2023 it shows that my module hasn't been packed. And when I watch some video about it I found that it's not only happening with me. #PhysicsWallah https://t.co/lGDCrFU4vD"
82,2023-04-05 13:44:32+00:00,DumaniKhabar,"ଭୁବନେଶ୍ୱର କଟକ ରୋଡରେ ଖୋଲିଲା Physics Wallah Vidyapeeth | Dumani TV
#dumanitv #dumaninews #physicswallah #pwvidyapeeth #Vidyapeeth #physicswallahvidyapeeth #vidyapeethphysicswallah #vidyapeethphysicswallah #OdiaNews #OdishaNews #Odisha https://t.co/MfjY4dScbA"
83,2023-04-05 13:37:27+00:00,areyhaanyaar,"Syllabus Completion &gt; Controversy 
#pwcontroversy #physicswallah https://t.co/DipwNJlR83"
84,2023-04-05 12:38:50+00:00,M_Gaikwad_,"फिर से आएगी वह रातें,
वो मीठी-मीठी सी #Webseries #movie #games Kaha Gayi Yaar Wo Raate.....#NEETUG2023 #NEET #neetug2023 #NCERT #PhysicsWallah https://t.co/OBoqSPL1Bi"
85,2023-04-05 12:17:53+00:00,EtoosIndia,"Hello Bachcho, Taiyar ho Jao🔥Aane Wala Hai Kuch Dhamakedar 
#physicswallah #etoosindia #surprise #cid #daya #comingsoon https://t.co/zjNc3crIfv"
86,2023-04-05 12:13:15+00:00,Piyush_VaahS,"Physics Wallah and Adda 247 Controversy 🚨😱💯
#DOGE #PhysicsWallah #adda247 https://t.co/2i6I3NRSZ8"
87,2023-04-05 12:09:05+00:00,DreamVerse10,Hey @physics__wallah @PhysicswallahAP tell me is there any revision test series for #NEETUG2023 in offline mode in newly launched pathsala centre.if yes then please don't delay no more it's a request #PhysicsWallah #NEET
88,2023-04-05 09:45:06+00:00,Sitaram54009045,#PhysicsWallah
89,2023-04-05 09:42:02+00:00,paulamita014,"Just PW thingsssssssssss😁😁
. 
. 
#myself 
#pw
#PhysicsWallah 
#coaching
#selfie
#mirrorselfie😌
😁😁 https://t.co/FpcTSAg3sZ"
90,2023-04-05 09:30:10+00:00,EtoosIndia,"Hello Bachcho, btaao kon kon hai vo
#physicswallah #etoosindia #iit #aiims https://t.co/8o7OxXVo4i"
91,2023-04-05 09:11:39+00:00,bakaitibabuji,"Tbh, top ssc or neet jee faculties of ed tech companies are from the low emotional intelligence category. They're good subject  specialists but not the teachers of true sense. They lack the aura of genuine wisdom. It's like Splitsvilla. #PhysicsWallah #unacademy 
#SSCCGL2023"
92,2023-04-05 07:58:51+00:00,warieshaanwar,"Ordered the NEET modules for my sister on 13th of March 2023, but there is no support from customer service about the delayed delivery. She is losing her precious time, Solution? #physicswallah
@PhysicswallahAP @physics__wallah"
93,2023-04-05 07:37:56+00:00,foruamrit,"@OnlyIAS2 BIG SCAM is going on in PW. I enrolled in their upsc classroom, they told their class will be start from 9th Apr. but they even now, where &amp; when there class will be start ? Please refund my money. #PhysicsWallah."
94,2023-04-05 07:04:49+00:00,ShooliniUniv,"Congratulations to the brilliant BTech CSE Shoolinians for getting placed at Physics Wallah!
Keep shining bright! ❤️

#ShooliniUniversity #ShooliniStudents #shoolini #planetspark #btech #cse #engineeringstudents #physicswallah #computerscience #computerengineering #newhiring https://t.co/zIbyEqNpi8"
95,2023-04-05 06:55:36+00:00,EtoosIndia,"Dil me mere hai Stethoscope !!!
#physicswallah #etoosindia #stethescope #aiims #neetaspirants https://t.co/UIHozUNGQD"
96,2023-04-04 22:28:48+00:00,ChiragSiradana,"pw courses prices increased, thats not right we should also count the inflation and the quality of first vs current batches .

biscuit me bhi kum aane lag gye ab to 1-2

#PhysicsWallah"
97,2023-04-04 19:13:52+00:00,NONIDH069,#MBAChaiwala ya phir #PhysicsWallah jo bhi ho Mazza aane wala he @CarryMinati
98,2023-04-04 17:45:00+00:00,thevks007,NEET Biology WITHOUT #tarun &amp; #mdsir is Incomplete &amp; fee also increased by previous year without faculty members #PW #PhysicsWallah https://t.co/F9OHoP3i8H
99,2023-04-04 16:53:12+00:00,foruamrit,"@Onlyias02
 
@OnlyIAS2
 
@PhysicswallahAP
 BIG SCAM is going on in PW. I enrolled in their upsc classroom, they told their class will be start from 9th Apr. but they even don't know, where &amp; when there class will be start ? Please refund my money. #PhysicsWallah"
100,2023-04-04 16:42:39+00:00,foruamrit,"@Onlyias02 @OnlyIAS2 @PhysicswallahAP BIG SCAM is going on in PW. I enrolled in their upsc classroom, they told their class will be start from 9th Apr. but they even now, where &amp; when there class will be start ? Please refund my money. #PhysicsWallah"
101,2023-04-04 15:43:25+00:00,greyhawk320,"Gravity, Acceleration, Momentum, Deflection, Vectors,  Oscillatory, Rotational, Translational, Uniform/Non-uniform motion,Periodic, Circular, Linear motion, all outlined in a single trajectory achieving multiple targets. 🤣🤣 @anandmahindra #PhysicsWallah #physics @PhysicsToday https://t.co/0F3dv1VTeB"
102,2023-04-04 14:22:34+00:00,kishan_kr69,there wasn't any response.. either help me with the previous lectures so I can catch up or please help me change my batch.. @PhysicswallahAP #PhysicsWallah #alakhpandey
103,2023-04-04 14:10:22+00:00,branded_niks,"@CarryMinati Yaa to @Prafull_mbachai ya fir koi choching institute 🤣🤣🤣👍
But kuch bhi ho i am waiting for ur next vidoe @CarryMinati #PhysicsWallah #mbachaiwala @neuzboy"
104,2023-04-04 13:50:32+00:00,Physicsgyani,"""""JEE Most Repeated Questions...""""""""
Special for JEE 6-12 April..2023

jee mains physics || jee mains physics crash course || #jeemains #physic... https://t.co/Bei1DK363g via @YouTube #JEE #JeeMains2023 #PhysicsWallah #Physics #JEEMains"
105,2023-04-04 13:48:40+00:00,Physicsgyani,"JEE Electrostatics Most Repeated Questions..
Special for JEE April 6-10 """"""""

jee mains physics || jee mains physics crash course || #jeemains #physic... https://t.co/Bei1DK363g via @YouTube #JeeMains2023 #JEE #JEEMains #PhysicsWallah #Physics"
106,2023-04-04 13:30:13+00:00,EtoosIndia,"We all become Raj Before the day of the exam !!!
#physicswallah #etoosindia #srk #bollywood #examination #jeeaspirants #neetaspirants https://t.co/brx4YpG9a1"
107,2023-04-04 12:58:56+00:00,exponentialaman,"Students fighting over #Physicswallah and #adda247 
controversy 

Le JEE and NEET : https://t.co/4nTgvwGIo3"
108,2023-04-04 11:43:17+00:00,quoraflix_,"#PhysicsWallah #Alakhpandey #KnowledgePlanet 
Physics Wallah ने UAE स्थित Knowledge Planet का किया अधिग्रहण, जानिए क्या है प्लान
https://t.co/6YIbQLUFe1 https://t.co/GSYDKHXVGj"
109,2023-04-04 11:42:26+00:00,TheAliVoice,"#PhysicsWallah #Alakhpandey #KnowledgePlanet 
Physics Wallah ने UAE स्थित Knowledge Planet का किया अधिग्रहण, जानिए क्या है प्लान
https://t.co/ClH0QiW728"
110,2023-04-04 11:42:20+00:00,quoraflix_,"#PhysicsWallah #Alakhpandey #KnowledgePlanet 
Physics Wallah ने UAE स्थित Knowledge Planet का किया अधिग्रहण, जानिए क्या है प्लान
https://t.co/6YIbQLUFe1"
111,2023-04-04 10:47:19+00:00,M_Gaikwad_,"Hey Guy's NEET UG 2023 coming soon 😰.
.
#NEETUG2023 #neet2023 #NEET #VirginMediaoutage #Doctors #PhysicsWallah https://t.co/KOtgehjaE9"
112,2023-04-04 09:04:37+00:00,EtoosIndia,"If you're in the loop, you know !!!
#physicswallah #etoosindia #nmacc #culture #nmaccindia #nmaccindia https://t.co/iTICN3hVUE"
113,2023-04-04 07:49:01+00:00,career_carnival,"Topics to be covered: 
✅Career oppurtunities after 12th
✅Success mantra for professional exams 
Register yourself if you haven’t yet : 

➡️➡️https://t.co/6zM4cI54k0 

#careerfair #careercarnival #jeeadvanced #neet #kota #exam #jee #jeemains #physicswallah #careering #unacadamy"
114,2023-04-04 05:25:46+00:00,Hansrajvats,"Alakh Pandey’s PhysicsWallah Looking To Raise $250 Mn At $3.3 Bn Valuation
#Startup #edtech #physicswallah #unicorn"
